agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2022-11-22 10:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 10:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 10:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 10:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 10:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 10:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 10:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 10:35,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 10:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 10:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 10:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 10:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 11:00,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 11:05,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 11:10,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 11:15,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 11:20,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 11:25,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 11:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 11:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 11:40,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 11:45,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 11:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 11:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 12:00,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 12:05,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 12:10,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 12:15,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 12:20,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 12:25,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 12:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 12:35,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 12:40,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 12:45,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 12:50,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 12:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:15,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 13:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 13:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:00,EST,3.43,P,1.24,P
USGS,02085070,2022-11-22 14:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 14:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 15:55,EST,3.54,P,1.25,P
